"trainer/global_step","1e4 EF - _step","1e4 EF - _step__MIN","1e4 EF - _step__MAX","1e4 EF - val-Loss E","1e4 EF - val-Loss E__MIN","1e4 EF - val-Loss E__MAX","1e6 EF - _step","1e6 EF - _step__MIN","1e6 EF - _step__MAX","1e6 EF - val-Loss E","1e6 EF - val-Loss E__MIN","1e6 EF - val-Loss E__MAX","1e3 - _step","1e3 - _step__MIN","1e3 - _step__MAX","1e3 - val-Loss E","1e3 - val-Loss E__MIN","1e3 - val-Loss E__MAX","1e5 EF - _step","1e5 EF - _step__MIN","1e5 EF - _step__MAX","1e5 EF - val-Loss E","1e5 EF - val-Loss E__MIN","1e5 EF - val-Loss E__MAX","1e6 - _step","1e6 - _step__MIN","1e6 - _step__MAX","1e6 - val-Loss E","1e6 - val-Loss E__MIN","1e6 - val-Loss E__MAX","1e4 - _step","1e4 - _step__MIN","1e4 - _step__MAX","1e4 - val-Loss E","1e4 - val-Loss E__MIN","1e4 - val-Loss E__MAX","1e5 - _step","1e5 - _step__MIN","1e5 - _step__MAX","1e5 - val-Loss E","1e5 - val-Loss E__MIN","1e5 - val-Loss E__MAX","4e5 - _step","4e5 - _step__MIN","4e5 - _step__MAX","4e5 - val-Loss E","4e5 - val-Loss E__MIN","4e5 - val-Loss E__MAX","8e5 - _step","8e5 - _step__MIN","8e5 - _step__MAX","8e5 - val-Loss E","8e5 - val-Loss E__MIN","8e5 - val-Loss E__MAX","1.7e6 - _step","1.7e6 - _step__MIN","1.7e6 - _step__MAX","1.7e6 - val-Loss E","1.7e6 - val-Loss E__MIN","1.7e6 - val-Loss E__MAX","8e4 - _step","8e4 - _step__MIN","8e4 - _step__MAX","8e4 - val-Loss E","8e4 - val-Loss E__MIN","8e4 - val-Loss E__MAX","6e4 - _step","6e4 - _step__MIN","6e4 - _step__MAX","6e4 - val-Loss E","6e4 - val-Loss E__MIN","6e4 - val-Loss E__MAX","4e4 - _step","4e4 - _step__MIN","4e4 - _step__MAX","4e4 - val-Loss E","4e4 - val-Loss E__MIN","4e4 - val-Loss E__MAX"
"3599","7224","7224","7224","0.21579015254974365","0.21579015254974365","0.21579015254974365","7203","7203","7203","0.12702935934066772","0.12702935934066772","0.12702935934066772","7440","7440","7440","0.5061830878257751","0.5061830878257751","0.5061830878257751","7203","7203","7203","0.13931506872177124","0.13931506872177124","0.13931506872177124","7203","7203","7203","0.16236631572246552","0.16236631572246552","0.16236631572246552","7224","7224","7224","0.1643712818622589","0.1643712818622589","0.1643712818622589","7203","7203","7203","0.19076456129550934","0.19076456129550934","0.19076456129550934","7203","7203","7203","0.15307433903217316","0.15307433903217316","0.15307433903217316","7203","7203","7203","0.1504870504140854","0.1504870504140854","0.1504870504140854","7203","7203","7203","0.13409456610679626","0.13409456610679626","0.13409456610679626","7203","7203","7203","0.16784130036830902","0.16784130036830902","0.16784130036830902","7204","7204","7204","0.11027080565690994","0.11027080565690994","0.11027080565690994","7206","7206","7206","0.12790462374687195","0.12790462374687195","0.12790462374687195"
"7199","14448","14448","14448","0.20514731109142303","0.20514731109142303","0.20514731109142303","14406","14406","14406","0.10802138596773148","0.10802138596773148","0.10802138596773148","14881","14881","14881","0.5308173298835754","0.5308173298835754","0.5308173298835754","14406","14406","14406","0.14580892026424408","0.14580892026424408","0.14580892026424408","14406","14406","14406","0.12707729637622833","0.12707729637622833","0.12707729637622833","14448","14448","14448","0.16793501377105713","0.16793501377105713","0.16793501377105713","14406","14406","14406","0.12407460808753967","0.12407460808753967","0.12407460808753967","14406","14406","14406","0.19163842499256134","0.19163842499256134","0.19163842499256134","14406","14406","14406","0.10739843547344208","0.10739843547344208","0.10739843547344208","14406","14406","14406","0.11030296981334686","0.11030296981334686","0.11030296981334686","14407","14407","14407","0.15441769361495972","0.15441769361495972","0.15441769361495972","14409","14409","14409","0.1283293217420578","0.1283293217420578","0.1283293217420578","14413","14413","14413","0.11281527578830719","0.11281527578830719","0.11281527578830719"
"10799","21672","21672","21672","0.19752483069896698","0.19752483069896698","0.19752483069896698","21609","21609","21609","0.13278651237487793","0.13278651237487793","0.13278651237487793","22322","22322","22322","0.5279808044433594","0.5279808044433594","0.5279808044433594","21609","21609","21609","0.0981161892414093","0.0981161892414093","0.0981161892414093","21609","21609","21609","0.0980534479022026","0.0980534479022026","0.0980534479022026","21672","21672","21672","0.14691011607646942","0.14691011607646942","0.14691011607646942","21609","21609","21609","0.10143496841192245","0.10143496841192245","0.10143496841192245","21609","21609","21609","0.08796411007642746","0.08796411007642746","0.08796411007642746","21609","21609","21609","0.1139436736702919","0.1139436736702919","0.1139436736702919","21609","21609","21609","0.08425112813711166","0.08425112813711166","0.08425112813711166","21611","21611","21611","0.08336769044399261","0.08336769044399261","0.08336769044399261","21614","21614","21614","0.10921128839254379","0.10921128839254379","0.10921128839254379","21620","21620","21620","0.0928383469581604","0.0928383469581604","0.0928383469581604"
"14399","28896","28896","28896","0.22577595710754395","0.22577595710754395","0.22577595710754395","28812","28812","28812","0.09879512339830399","0.09879512339830399","0.09879512339830399","29763","29763","29763","0.5360260009765625","0.5360260009765625","0.5360260009765625","28813","28813","28813","0.08915800601243973","0.08915800601243973","0.08915800601243973","28812","28812","28812","0.09863947331905365","0.09863947331905365","0.09863947331905365","28896","28896","28896","0.13499195873737335","0.13499195873737335","0.13499195873737335","28813","28813","28813","0.09399328380823135","0.09399328380823135","0.09399328380823135","28812","28812","28812","0.08751226961612701","0.08751226961612701","0.08751226961612701","28812","28812","28812","0.0808604285120964","0.0808604285120964","0.0808604285120964","28812","28812","28812","0.11096411943435669","0.11096411943435669","0.11096411943435669","28815","28815","28815","0.1004897877573967","0.1004897877573967","0.1004897877573967","28819","28819","28819","0.0958576649427414","0.0958576649427414","0.0958576649427414","28827","28827","28827","0.09258066862821579","0.09258066862821579","0.09258066862821579"
"17999","36120","36120","36120","0.19612161815166473","0.19612161815166473","0.19612161815166473","36016","36016","36016","0.09274490922689438","0.09274490922689438","0.09274490922689438","37204","37204","37204","0.5347023010253906","0.5347023010253906","0.5347023010253906","36016","36016","36016","0.10511714965105057","0.10511714965105057","0.10511714965105057","36016","36016","36016","0.07240428775548935","0.07240428775548935","0.07240428775548935","36120","36120","36120","0.1478416621685028","0.1478416621685028","0.1478416621685028","36016","36016","36016","0.08331428468227386","0.08331428468227386","0.08331428468227386","36016","36016","36016","0.12124645709991455","0.12124645709991455","0.12124645709991455","36016","36016","36016","0.11599933356046677","0.11599933356046677","0.11599933356046677","36016","36016","36016","0.07610227912664413","0.07610227912664413","0.07610227912664413","36019","36019","36019","0.14020460844039917","0.14020460844039917","0.14020460844039917","36024","36024","36024","0.09213929623365402","0.09213929623365402","0.09213929623365402","36033","36033","36033","0.08416548371315002","0.08416548371315002","0.08416548371315002"
"21599","43344","43344","43344","0.21626366674900055","0.21626366674900055","0.21626366674900055","43219","43219","43219","0.08478112518787384","0.08478112518787384","0.08478112518787384","44645","44645","44645","0.5364577174186707","0.5364577174186707","0.5364577174186707","43219","43219","43219","0.08157658576965332","0.08157658576965332","0.08157658576965332","43219","43219","43219","0.08478125929832458","0.08478125929832458","0.08478125929832458","43344","43344","43344","0.13446228206157684","0.13446228206157684","0.13446228206157684","43219","43219","43219","0.07255075126886368","0.07255075126886368","0.07255075126886368","43219","43219","43219","0.0666595995426178","0.0666595995426178","0.0666595995426178","43219","43219","43219","0.06808099150657654","0.06808099150657654","0.06808099150657654","43219","43219","43219","0.07185650616884232","0.07185650616884232","0.07185650616884232","43223","43223","43223","0.0763203352689743","0.0763203352689743","0.0763203352689743","43229","43229","43229","0.09581383317708969","0.09581383317708969","0.09581383317708969","43240","43240","43240","0.08525929600000381","0.08525929600000381","0.08525929600000381"
"25199","50568","50568","50568","0.1964316964149475","0.1964316964149475","0.1964316964149475","50422","50422","50422","0.07588473707437515","0.07588473707437515","0.07588473707437515","52086","52086","52086","0.5400529503822327","0.5400529503822327","0.5400529503822327","50423","50423","50423","0.0764835998415947","0.0764835998415947","0.0764835998415947","50422","50422","50422","0.07172178477048874","0.07172178477048874","0.07172178477048874","50568","50568","50568","0.13309256732463837","0.13309256732463837","0.13309256732463837","50423","50423","50423","0.08676774799823761","0.08676774799823761","0.08676774799823761","50422","50422","50422","0.10842201858758926","0.10842201858758926","0.10842201858758926","50422","50422","50422","0.06757904589176178","0.06757904589176178","0.06757904589176178","50422","50422","50422","0.06523571908473969","0.06523571908473969","0.06523571908473969","50427","50427","50427","0.07947690784931183","0.07947690784931183","0.07947690784931183","50433","50433","50433","0.08432483673095703","0.08432483673095703","0.08432483673095703","50447","50447","50447","0.1131482645869255","0.1131482645869255","0.1131482645869255"
"28799","57792","57792","57792","0.1922248899936676","0.1922248899936676","0.1922248899936676","57625","57625","57625","0.09399884194135666","0.09399884194135666","0.09399884194135666","59527","59527","59527","0.5360909700393677","0.5360909700393677","0.5360909700393677","57626","57626","57626","0.07544916123151779","0.07544916123151779","0.07544916123151779","57625","57625","57625","0.09814129024744034","0.09814129024744034","0.09814129024744034","57792","57792","57792","0.13363581895828247","0.13363581895828247","0.13363581895828247","57626","57626","57626","0.07200435549020767","0.07200435549020767","0.07200435549020767","57625","57625","57625","0.06988441199064255","0.06988441199064255","0.06988441199064255","57625","57625","57625","0.07887616008520126","0.07887616008520126","0.07887616008520126","57625","57625","57625","0.06294037401676178","0.06294037401676178","0.06294037401676178","57631","57631","57631","0.08998330682516098","0.08998330682516098","0.08998330682516098","57638","57638","57638","0.06971733272075653","0.06971733272075653","0.06971733272075653","57654","57654","57654","0.1056739091873169","0.1056739091873169","0.1056739091873169"
"32399","65016","65016","65016","0.19309690594673157","0.19309690594673157","0.19309690594673157","64829","64829","64829","0.07827996462583542","0.07827996462583542","0.07827996462583542","66968","66968","66968","0.5485236048698425","0.5485236048698425","0.5485236048698425","64829","64829","64829","0.07642856240272522","0.07642856240272522","0.07642856240272522","64829","64829","64829","0.07974763214588165","0.07974763214588165","0.07974763214588165","65016","65016","65016","0.13940221071243286","0.13940221071243286","0.13940221071243286","64829","64829","64829","0.07586834579706192","0.07586834579706192","0.07586834579706192","64829","64829","64829","0.10924683511257172","0.10924683511257172","0.10924683511257172","64829","64829","64829","0.08149568736553192","0.08149568736553192","0.08149568736553192","64829","64829","64829","0.07813511043787003","0.07813511043787003","0.07813511043787003","64834","64834","64834","0.06696958839893341","0.06696958839893341","0.06696958839893341","64843","64843","64843","0.06958239525556564","0.06958239525556564","0.06958239525556564","64860","64860","64860","0.08088279515504837","0.08088279515504837","0.08088279515504837"
"35999","72240","72240","72240","0.18992389738559723","0.18992389738559723","0.18992389738559723","72032","72032","72032","0.06266488134860992","0.06266488134860992","0.06266488134860992","74409","74409","74409","0.5355477333068848","0.5355477333068848","0.5355477333068848","72033","72033","72033","0.07560139894485474","0.07560139894485474","0.07560139894485474","72032","72032","72032","0.06067543104290962","0.06067543104290962","0.06067543104290962","72240","72240","72240","0.13301615417003632","0.13301615417003632","0.13301615417003632","72033","72033","72033","0.0815826877951622","0.0815826877951622","0.0815826877951622","72032","72032","72032","0.08671996742486954","0.08671996742486954","0.08671996742486954","72032","72032","72032","0.06324595957994461","0.06324595957994461","0.06324595957994461","72032","72032","72032","0.05616440996527672","0.05616440996527672","0.05616440996527672","72038","72038","72038","0.09064732491970062","0.09064732491970062","0.09064732491970062","72048","72048","72048","0.08318953216075897","0.08318953216075897","0.08318953216075897","72067","72067","72067","0.09108943492174149","0.09108943492174149","0.09108943492174149"
